10.132221 [mod=GWPROV, lvl=INFO] [tid=535] Dump of TLV buffer : 
10.132538 [mod=GWPROV, lvl=INFO] [tid=535] 0x5 
10.132542 [mod=GWPROV, lvl=INFO] [tid=535] 0x74 
10.132545 [mod=GWPROV, lvl=INFO] [tid=535] 0x72 
10.132553 [mod=GWPROV, lvl=INFO] [tid=535] 0x30 
10.132557 [mod=GWPROV, lvl=INFO] [tid=535] 0x36 
10.132561 [mod=GWPROV, lvl=INFO] [tid=535] 0x39 
10.132565 [mod=GWPROV, lvl=INFO] [tid=535] 0x7 
10.132568 [mod=GWPROV, lvl=INFO] [tid=535] 0x1 
10.132572 [mod=GWPROV, lvl=INFO] [tid=535] 0x1 
10.132576 [mod=GWPROV, lvl=INFO] [tid=535] Router TLV 0: Type   1(01) Len   1
10.132580 [mod=GWPROV, lvl=INFO] [tid=535] er_init_mode 3
10.132660 [mod=GWPROV, lvl=INFO] [tid=535] Set cfgFileRouterMode : 3 
10.132668 [mod=GWPROV, lvl=INFO] [tid=535] Router TLV 1: Type   2(02) Len  72
10.132675 [mod=GWPROV, lvl=INFO] [tid=535]  0: Tag   1 Len   1
10.132679 [mod=GWPROV, lvl=INFO] [tid=535] er_enable_cwmp 1
10.494282 [mod=GWPROV, lvl=INFO] [tid=535]  1: Tag   7 Len   1
10.494301 [mod=GWPROV, lvl=INFO] [tid=535] er_acs_override 1
10.871948 [mod=GWPROV, lvl=INFO] [tid=535]  2: Tag   2 Len  50
10.871994 [mod=GWPROV, lvl=INFO] [tid=535] er_url (http://[2001:dead:beef:1:56ee:75ff:fe44:d457]:9675)(50)
10.902699 [mod=GWPROV, lvl=INFO] [tid=535]  3: Tag   3 Len   5
10.902714 [mod=GWPROV, lvl=INFO] [tid=535] er_username tr069
10.924725 [mod=GWPROV, lvl=INFO] [tid=535]  4: Tag   4 Len   5
10.924740 [mod=GWPROV, lvl=INFO] [tid=535] er_password tr069
